0-4,5
5-9,5
10-14,5
15-19,5
20-24,5
25-29,6
30-34,7
35-39,7
40-44,7
45-49,7
50-54,8
55-59,8
60-64,6
65-69,5
70-74,5
75-79,4
80-84,3
85-89,2
90-94,1
95-99,0
