0-4,20
5-9,16
10-14,14
15-19,11
20-24,9
25-29,7
30-34,5
35-39,4
40-44,3
45-49,3
50-54,2
55-59,2
60-64,2
65-69,1
70-74,1
75-79,0
80-84,0
85-89,0
90-94,0
95-99,0
